Language,GPT-4 TER,Google TER,GPT-4 BLEU,Google BLEU
BG,0.5270677265499755,0.42636318553010655,0.3552552641745027,0.4793512819043544
CS,0.594493755593295,0.4984824069310532,0.3786856095160625,0.4970468414598795
DA,0.6397094422299533,0.5481737518975365,0.34987959430292204,0.4425100546407971
DE,0.6410271162937023,0.651540855576157,0.33899263763018944,0.21904150654859214
EL,0.5684802993414315,0.4927294511034014,0.3457624015758899,0.41737271054237335
ES,0.46669970080997364,0.42229231198306777,0.45559682465763834,0.5211096449592018
ET,0.728472756763937,0.6548367900656311,0.2419806208868027,0.32798889539142034
FI,0.7727098720683202,0.6560834170962544,0.22125737205551035,0.3385549820810842
FR,0.4625477817117139,0.4185314584228035,0.4476331337022162,0.5028844001411947
GA,0.6672659665807431,0.42390770557598884,0.23132408751179293,0.5300933010325921
HR,0.6313119392128338,0.5090407081718604,0.34190648683980307,0.4276704466276146
HU,0.7498069588504062,0.6211927975567687,0.19680510491325962,0.3533418012900072
IT,0.5559760518464543,0.4466685255535362,0.34757834573661894,0.4746731812572519
LT,0.7253811416350948,0.5919903355779551,0.26698104555692925,0.3853813084803176
LV,0.6632046580377761,0.5570865175254172,0.30697093676904547,0.40286878526100195
MT,0.582744226876446,0.41196801404743,0.29645876056740195,0.4917012977172347
NL,0.6599612583497075,0.4747923865592209,0.37952071460235337,0.5196062512906129
PL,0.5856743526069443,0.4938308712210897,0.37442987711925857,0.46917828641831183
PT,0.6010888469198585,0.504466206644082,0.32879166378362984,0.428199311252405
RO,0.5141427397346314,0.44497180899047634,0.41356045978987416,0.5112418681567921
SK,0.6226765770922392,0.5356586593153266,0.36745287751197664,0.4344215200427848
SL,0.5643051872854836,0.4954245185312556,0.41276747754950555,0.48234384304433175
SV,0.5988006049695666,0.5071762821433211,0.3472882242910872,0.4593710046955655
