Pair,GPT-4 M,GPT-4 SD,GOOGLE M,GOOGLE SD,REFERENCE M,REFERENCE SD
EN-BG,-0.01886377641931176,0.08550964519179577,-0.02036993474815972,0.08624117882126699,-0.020103996531106533,0.12341234274606068
EN-CS,0.18355395495891572,0.10598616110356464,0.17173463470768183,0.10565226820992371,0.16192090216092767,0.10703466436335395
EN-DA,0.27272184474393724,0.11582722810660918,0.2525963529199362,0.1138226352872946,0.25477318178862335,0.1159482505245859
EN-DE,0.23628952212631701,0.1383165732752483,0.24740474658086897,0.15277265608931542,0.20219228930771352,0.13125100802463457
EN-EL,0.01912501299753785,0.08850208681100527,0.018488764371722935,0.08855557480554234,0.018621744671836495,0.09241236449191836
EN-ES,0.4108755077421665,0.10960070051953855,0.4013621051609516,0.11732121192494306,0.3856158261746168,0.12251216845089294
EN-ET,0.2696088569331914,0.12366275162974814,0.2552128340117633,0.124386450099977,0.25825115382671354,0.12772775662880012
EN-FI,0.23317934915423394,0.12809951389022112,0.24164580224081875,0.12309521288809662,0.2282283866032958,0.12632987411539534
EN-FR,0.36178704991936683,0.1432615209722392,0.3485443613678217,0.1444097086594012,0.32505809340626,0.1346425920350589
EN-GA,0.09192719672806561,0.09342634402756948,0.06759178900159896,0.07236507423707743,0.06599614081904293,0.06791620326896682
EN-HR,0.21379255263134836,0.1370819856892261,0.21346850269008427,0.13075251278777997,0.20299977122806012,0.13105443979576664
EN-HU,0.09428059305995702,0.10916948652885242,0.08862494219094515,0.10531221092192594,0.08905823442153632,0.10614555690773764
EN-IT,0.35572607062757017,0.13531771755889105,0.35113108195364473,0.12939773701939,0.347077536508441,0.1296653059683265
EN-LT,0.20549527257680894,0.11450145872867336,0.19048085229471326,0.10717548855096407,0.19868103343993426,0.11740375191816857
EN-LV,0.23769011456519365,0.10734261919911008,0.23108031706884502,0.108262034773975,0.2265856875665486,0.10687919482700879
EN-MT,0.27536660637706517,0.15022641449878563,0.24072768988087773,0.12769118592300008,0.23935147169977428,0.1253823881243174
EN-NL,0.28458306517452003,0.13289045109617145,0.3096549050696194,0.14219516008120367,0.2963413228839636,0.13676143205803634
EN-PL,0.21664229298941792,0.1092107086181115,0.21984045489691198,0.11173196536249004,0.21403040228411555,0.11454194757021464
EN-PT,0.35362625474110243,0.12661753707559412,0.3380228001996875,0.13021964223151838,0.32226141713559625,0.12541232845662809
EN-RO,0.41530721209943294,0.1453570220873511,0.4172422779351473,0.13686705007412017,0.4031134975701571,0.14079678600844095
EN-SK,0.166675593694672,0.11213264996909919,0.157039436083287,0.11109778907444347,0.14992246472276746,0.11630041736194754
EN-SL,0.17071732909418644,0.11057160793078058,0.1719618687219918,0.11085805641342597,0.1791511312685907,0.12116255128865548
EN-SV,0.31375762071460483,0.11542347958564475,0.30960106579586866,0.11799428477282559,0.289013146487996,0.12296352336969119
